time,body_id,mass,x,y,z,vx,vy,vz
0.0,0,1.554118165150887e+23,-867213512.1899999,-116815583.09192705,-483062591.1491668,37.50074237184958,-418.1974405559208,-500.0
0.0,1,2.6523384296295672e+23,213444693.79532623,526015822.55215096,-108019042.84778035,-129.65448529283464,-259.7023710073293,-500.0
0.0,2,9.406705410554697e+24,-646623169.720354,-105388344.50111902,-272845287.2265905,-439.80378342787463,-345.0571043255942,-500.0
0.0,3,3.358963612509865e+24,-724681103.0114849,520106899.1679795,-815765714.4525039,-81.33466527021528,-195.6985255335968,-500.0
0.0,4,7.418048871488694e+24,833549978.0015831,-4155144.4105457067,-769074392.258652,-178.581683011763,485.9167622246981,-500.0
0.0,5,3.685693586328256e+24,-277241595.0892652,378683076.102401,-591902676.3813571,199.69487011362764,357.97565136302205,-500.0
0.0,6,6.226357146557448e+24,26804925.224541664,-583284847.4778764,176162093.72278762,282.40459119927857,26.047670779737018,-500.0
0.0,7,8.465520410768719e+24,221107276.47978544,870628608.7997649,248157122.42302513,-111.17364156840983,101.45836754822722,-500.0
0.0,8,6.293250332675079e+24,613283386.0529287,-184585287.12008774,-21230527.116648674,-364.63546786981806,314.61808342568816,-500.0
0.0,9,9.6333450285479e+24,-657013583.3834364,798050834.0052707,182347664.7334895,-368.0397654371569,-479.8721762016198,-500.0
10000.0,0,1.554118165150887e+23,-866535001.834683,-120932895.49790755,-487811523.02458227,98.30642700245174,-405.2187245706478,-449.4906392026858
10000.0,1,2.6523384296295672e+23,212098738.10662723,523434210.3329989,-112959427.89407526,-139.521327030105,-256.64319221405225,-488.12994250663985
10000.0,2,9.406705410554697e+24,-650964958.1544881,-108782322.79326516,-277841662.105805,-428.56483431974755,-333.74137740768657,-499.2678277136989
10000.0,3,3.358963612509865e+24,-725422642.7871628,518103038.7107188,-820669436.3610997,-66.97835694642349,-205.05495405485087,-480.74673763939353
10000.0,4,7.418048871488694e+24,831711804.2960526,706821.3697471344,-774017211.1723672,-189.05695895149495,486.47065026483057,-488.5645794307007
10000.0,5,3.685693586328256e+24,-275287976.2914478,382230818.1322942,-596830057.7022018,191.04697087407675,351.579466430811,-485.5011578969138
10000.0,6,6.226357146557448e+24,29634032.830883782,-582945344.7673838,171118950.39795467,283.4155892812313,41.8588661198143,-508.6275845837376
10000.0,7,8.465520410768719e+24,219945483.87691742,871589633.8615675,243121848.2097937,-121.1709057766091,90.73776602448598,-507.0545629285175
10000.0,8,6.293250332675079e+24,609571524.7169629,-181416673.66449037,-26259608.39513729,-377.7437414247502,319.09327395912135,-505.8072940831639
10000.0,9,9.6333450285479e+24,-660637075.4233968,793203155.821193,177310928.57272354,-356.6591111493845,-489.6541172762815,-507.3533650203602
20000.0,0,1.554118165150887e+23,-865244959.7135812,-124918987.77324729,-492046180.0274374,159.8473844590576,-391.9458815489189,-397.09362267661254
20000.0,1,2.6523384296295672e+23,210654558.93626478,520882527.74683297,-117782644.62689584,-149.2997750031033,-253.71463147227863,-476.563842187626
20000.0,2,9.406705410554697e+24,-655194676.221514,-112063213.38410717,-282830520.2788035,-417.3894817139758,-322.4381908543451,-498.4982400678194
20000.0,3,3.358963612509865e+24,-726020758.9532714,516006151.2628297,-825380677.4239811,-52.64895874605605,-214.30495569582908,-461.5020284727856
20000.0,4,7.418048871488694e+24,829768757.0905836,5574157.09806902,-778845693.2670571,-199.55700310230145,486.9907496279092,-477.13201425905226
20000.0,5,3.685693586328256e+24,-273420318.22403634,385714777.5912802,-601613157.1538284,182.50133811966865,345.2172922014076,-471.1410250632957
20000.0,6,6.226357146557448e+24,32473212.3610702,-582447541.0632687,165989557.73101705,284.4191156988156,57.7091848556353,-517.2504134644955
20000.0,7,8.465520410768719e+24,218684122.12971714,872443186.2917392,238016030.969436,-131.0882361120126,79.9632743590994,-514.1091834705923
20000.0,8,6.293250332675079e+24,605728370.9288169,-178203642.04892948,-31346500.817465685,-390.89453086737257,323.5016691872917,-511.56240774112933
20000.0,9,9.6333450285479e+24,-664146767.2756855,788257925.5600818,172200473.7589308,-345.27896343536844,-499.3833583312606,-514.7442098344754
30000.0,0,1.554118165150887e+23,-863334808.9063088,-128770684.44225009,-495746089.8948316,222.37275450450343,-378.3306974537121,-342.48070387630463
30000.0,1,2.6523384296295672e+23,209113023.02264062,518359520.8304938,-122491661.06217541,-158.99324341463867,-250.90635676493886,-465.2875730337542
30000.0,2,9.406705410554697e+24,-659312954.0002178,-115231101.97998318,-287811534.68397224,-406.2766374384004,-311.13967584553745,-497.7007249482486
30000.0,3,3.358963612509865e+24,-726475691.6579279,513817271.2048327,-829899470.2465234,-38.34068052172425,-223.45446075254821,-442.2552948960951
30000.0,4,7.418048871488694e+24,827720570.41614,10446524.736641044,-783559848.8452313,-210.08547808938204,487.4770212297251,-465.698658180228
30000.0,5,3.685693586328256e+24,-271637638.5395458,389135241.3633675,-606253287.0855205,174.04995322852938,338.87858813036905,-456.90482945596034
30000.0,6,6.226357146557448e+24,35322393.10117707,-581791006.2182282,160773947.15680334,285.4159599800651,73.60643365386176,-525.8717207485258
30000.0,7,8.465520410768719e+24,217323968.2878472,873188710.3836303,232839653.19013062,-140.93006699366268,69.1315176066257,-521.1672423672607
30000.0,8,6.293250332675079e+24,601753482.5895145,-174946861.82818347,-36490687.631964356,-404.091234620344,327.8429236086306,-517.2663296856617
30000.0,9,9.6333450285479e+24,-667542641.5516844,783215647.806799,167015911.26329392,-333.89483414364815,-509.06436888433456,-522.1753948377744
40000.0,0,1.554118165150887e+23,-860793341.2125136,-132484283.83950828,-498887205.7311856,286.1611023004378,-364.31574462872396,-285.26253262500524
40000.0,1,2.6523384296295672e+23,207474963.69634596,515864035.77087945,-127089309.24542382,-168.60500167092772,-248.20865920334379,-454.2880513239565
40000.0,2,9.406705410554697e+24,-663320413.5021784,-118285997.65685458,-292784475.66507107,-395.22579747607256,-299.83837365083457,-496.8853276914818
40000.0,3,3.358963612509865e+24,-726787623.154577,511537374.97805715,-834225741.8360393,-24.047732720440983,-232.5091297271952,-422.99598988484195
40000.0,4,7.418048871488694e+24,825566941.5121694,15323585.595559146,-788159651.8536208,-220.64608074168603,487.9293737193155,-454.2608853137827
40000.0,5,3.685693586328256e+24,-269939033.8035017,392492393.83933675,-610751617.1084535,165.68504752900262,332.55338116801147,-442.7787741177406
40000.0,6,6.226357146557448e+24,38181511.90870695,-580975231.2805378,155472117.47316602,286.406846876906,89.5585700604298,-534.4948009392572
40000.0,7,8.465520410768719e+24,215865755.72646397,873825616.2618403,227592663.72343653,-150.70070077598038,58.23903587011486,-528.2320879702518
